"doc_id","section_name","content"
"17020806","articletitle","RNA polymerase II gene (RPB2) encoding the second largest protein subunit in Phaeosphaeria nodorum and P. avenaria."
"17020806","abstracttext","A 5586 bp sequence (accession no. DQ278491), which includes the RNA polymerase II gene (RPB2) encoding the second largest protein subunit (RPB2), was obtained from the wheat biotype Phaeosphaeria nodorum (PN-w) by PCR amplification. The 3841 bp full length RPB2 gene contains two exons and a 52 bp intron, and encodes a complete 1262 amino acid protein. Similar to the C-terminals of the beta subunits of prokaryotes and yeast RNA polymerases, the deduced RPB2 protein contained many structural features needed for gene transcription. Based on the phylogenetic analysis with the deduced RPB2 polypeptide sequences, the PN-w was closely related to the maize pathogen Cochliobolus heterostrophus. Size differences were found in the full length RPB2 gene of cereal Phaeosphaeria species, mainly due to differences in intron size. No nucleotide substitutions were found in homothallic P. avenaria f.sp. triticea (Pat1) and barley biotype P. nodorum (PN-b) isolates used in this study. The nucleotide and deduced amino acid sequences of the RPB2 gene in Pat1 were closely related to that in PN-w."
"20507502","articletitle","Geographical variation and positive diversifying selection in the host-specific toxin SnToxA."
"20507502","abstracttext","SUMMARY The host-specific toxin ToxA produced by the wheat pathogens Pyrenophora tritici-repentis and Phaeosphaeria nodorum interacts with the product of the dominant plant gene Tsn1 to induce necrosis. The ToxA gene is thought to have been acquired by Py. tritici-repentis from Ph. nodorum through a recent horizontal gene transfer event. PCR and sequence analysis indicate that the level of ToxA variation, including gene deletion, in Ph. nodorum (SnToxA) is significantly higher than in Py. tritici-repentis (PtrToxA). We PCR-screened 788 isolates of Ph. nodorum originating from eight geographical regions to infer the pattern of SnToxA deletions. The frequency of deletions differed significantly among populations, ranging from 0% (Australia) to 98% (China). Sequence analysis of the SnToxA gene in 123 Ph. nodorum isolates revealed 13 distinct haplotypes. The distribution and diversity of haplotypes varied significantly among populations. The majority of SnToxA mutations were non-synonymous resulting in changes at the protein level. We applied different models of selection to infer the mode of evolution operating at the ToxA locus. Evidence for positive diversifying selection supports the hypothesis that evolution of the ToxA locus is driven by selection imposed by the host. The distribution of SnToxA alleles and deletions may reflect the distribution of different Tsn1 alleles in the corresponding host populations."
"20521959","articletitle","Validation of a candidate deoxynivalenol-inactivating UDP-glucosyltransferase from barley by heterologous expression in yeast."
"20521959","abstracttext","Resistance to the virulence factor deoxynivalenol (DON) due to formation of DON-3-O-glucoside (D3G) is considered to be an important component of resistance against Fusarium spp. which produce this toxin. Multiple candidate UDP-glycosyltransferase (UGT) genes from different crop plants that are either induced by Fusarium spp. or differentially expressed in cultivars varying in Fusarium disease resistance have been described. However, UGT are encoded by a very large gene family in plants. The study of candidate plant UGT is highly warranted because of the potential relevance for developing Fusarium-spp.-resistant crops. We tested Arabidopsis thaliana genes closely related to a previously identified DON-glucosyltransferase gene by heterologous expression in yeast and showed that gene products with very high sequence similarity can have pronounced differences in detoxification capabilities. We also tested four candidate barley glucosyltransferases, which are highly DON inducible. Upon heterologous expression of full-length cDNAs, only one gene, HvUGT13248, conferred DON resistance. The conjugate D3G accumulated in the supernatant of DON-treated yeast transformants. We also present evidence that the product of the TaUGT3 gene recently proposed to encode a DON-detoxification enzyme of wheat does not protect yeast against DON."
"20495056","articletitle","The transcription factor StuA regulates central carbon metabolism, mycotoxin production, and effector gene expression in the wheat pathogen Stagonospora nodorum."
"20495056","abstracttext","The Stagonospora nodorum StuA transcription factor gene SnStuA was identified by homology searching in the genome of the wheat pathogen Stagonospora nodorum. Gene expression analysis revealed that SnStuA transcript abundance increased throughout infection and in vitro growth to peak during sporulation. To investigate its role, the gene was deleted by homologous recombination. The growth of the resulting mutants was retarded on glucose compared to the wild-type growth, and the mutants also failed to sporulate. Glutamate as a sole carbon source restored the growth rate defect observed on glucose, although sporulation remained impaired. The SnstuA strains were essentially nonpathogenic, with only minor growth observed around the point of inoculation. The role of SnstuA was investigated using metabolomics, which revealed that this gene's product played a key role in regulating central carbon metabolism, with glycolysis, the TCA cycle, and amino acid synthesis all affected in the mutants. SnStuA was also found to positively regulate the synthesis of the mycotoxin alternariol. Gene expression studies on the recently identified effectors in Stagonospora nodorum found that SnStuA was a positive regulator of SnTox3 but was not required for the expression of ToxA. This study has uncovered a multitude of novel regulatory targets of SnStuA and has highlighted the critical role of this gene product in the pathogenicity of Stagonospora nodorum."
"22614636","articletitle","Gene technology regulation in Australia: a decade of a federal implementation of a statutory legal code in a context of constituent states taking divergent positions."
"22614636","abstracttext","Gene technology is regulated in Australia by the Office of the Gene Technology Regulator (OGTR), a federal government agency with responsibility for managing health and environmental risks of GM organisms under the Gene Technology Act 2000. The OGTR liaises with other national agencies, governments of States and Territories of Australia and local councils. Current national risk management regulation is the result of three decades of experience with oversight of gene technology. A major operational feature of Australian regulation is reliance on Institutional Biosafety Committees (IBCs) located within the regulated institutions. In 2009-2010 the OGTR managed 45 licenses relating to GM crop field trials, and inspected crop trials that included canola, wheat, barley, banana, sugarcane, cotton, Indian mustard and grapevines. States and Territories of Australia make decisions on market related (non-safety) issues, and adopt different political stances with respect to commercialization of GM crops. Some Australian states support environmental release of licensed GM crops (e.g., Queensland), others ban them (Tasmania), while some have re-positioned themselves, after initially opposing commercialization, to currently allowing regulated commercial use (Victoria, Western Australia). Flexibility exhibited by the Australian regulatory system is facilitated by separation of political decision-making in the Gene Technology Ministerial Council away from the OGTR."
"22207334","articletitle","A new BSMV-based vector with modified β molecule allows simultaneous and stable silencing of two genes."
