observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI00005itkntRep0,2770470,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,6,,,,"106,7",,3,,"95,6",,3,,3,
DI00005itkfiRep0,2770469,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,6,,,,"111,2",,3,,"84,4",,6,,,
IsengrainitkntRep0,2770500,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"104,2",,8,,"93,4",,6,,6,
OratorioitkfiRep0,2770460,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"106,6",,5,,"80,9",,1,,,
EM00004itkntRep0,2770443,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"100,2",,3,,"89,9",,1,,3,
EM00004itkfiRep0,2770442,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,1,,,,"104,3",,3,,"79,1",,1,,,
RE00009itkfiRep0,2770475,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,6,,,,"114,7",,1,,87,,3,,,
DI00016itktRep0,2770510,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,145,,"97,1",,1,,"105,9",,,,,
OrnicaritkntRep0,2770452,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"108,4",,1,,"97,2",,1,,3,
DI00004itktRep0,2770468,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,90,,,,149,,"97,4",,1,,"106,2",,,,,
DI00004itkntRep0,2770467,BTH_Rennes_2001_SetA2,BTH_Rennes_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,1,,,,"101,5",,1,,91,,4,,4,
