observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM02069itkt,2790930,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,139,,"84,9",,"82,8",,2,
EM02022itkt,2790956,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48400,gnpis_pui:holding-921_taxon-4898_accession-48400,EM02022,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,141,,"98,8",,"96,3",,1,
EM02024itkt,2790946,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,139,,"85,9",,"83,7",,1,
DI03015itkt,2790923,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,141,,"95,8",,"93,4",,1,
DI03018itkt,2790914,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,treated,2003,75,,132,,"94,7",,"92,4",,1,
CF02045itkt,2790917,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,137,,"104,1",,"101,5",,1,
EM02096itkt,2790925,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,141,,"95,9",,"93,5",,1,
CF02092itkt,2790943,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,treated,2003,76,,137,,"99,4",,"96,9",,1,
DI03016itkt,2790920,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49668,gnpis_pui:holding-921_taxon-4898_accession-49668,DI03016,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,138,,"93,2",,"90,9",,1,
CF02097itkt,2790944,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,137,,"100,8",,"98,2",,1,
Chargeritkt,2790939,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,77,,138,,99,,"96,5",,2,
RE02005itkt,2790928,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48411,gnpis_pui:holding-921_taxon-4898_accession-48411,RE02005,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,134,,"102,8",,"100,2",,1,
RE02165itkt,2790951,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49008,gnpis_pui:holding-921_taxon-4898_accession-49008,RE02165,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,143,,"93,1",,"90,8",,1,
DI03009itkt,2790937,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,134,,89,,"86,7",,1,
RE02013itkt,2790948,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48995,gnpis_pui:holding-921_taxon-4898_accession-48995,RE02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,134,,"92,7",,"90,4",,1,
CF02326itkt,2790915,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,138,,"99,6",,"97,1",,1,
DI03017itkt,2790921,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,133,,"96,5",,"94,1",,1,
RE02162itkt,2790953,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,139,,"92,1",,"89,8",,1,
CF02202itkt,2790913,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49710,gnpis_pui:holding-921_taxon-4898_accession-49710,CF02202,VIRTUAL_TRIAL,,,,,,,,treated,2003,77,,133,,"107,5",,"104,9",,1,
DI03014itkt,2790922,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,139,,"98,8",,"96,3",,1,
CF02139itkt,2790938,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,137,,99,,"96,5",,1,
EM02013itkt,2790929,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49283,gnpis_pui:holding-921_taxon-4898_accession-49283,EM02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,129,,"86,1",,84,,1,
DI03011itkt,2790919,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,133,,"89,1",,"86,8",,1,
EM02065itkt,2790940,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,143,,"91,5",,"89,3",,1,
EM02054itkt,2790936,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,138,,"91,5",,"89,2",,1,
CF02096itkt,2790945,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,75,,137,,102,,"99,5",,1,
CF03427itkt,2790926,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49229,gnpis_pui:holding-921_taxon-4898_accession-49229,CF03427,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,138,,95,,"92,6",,1,
EM02121itkt,2790927,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49449,gnpis_pui:holding-921_taxon-4898_accession-49449,EM02121,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,142,,"85,9",,"83,8",,1,
DI03010itkt,2790918,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,134,,"86,7",,"84,5",,1,
CF02098itkt,2790941,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,VIRTUAL_TRIAL,,,,,,,,treated,2003,75,,136,,"95,7",,"93,3",,2,
Soissonsitkt,2790954,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,126,,"95,4",,93,,2,
EM02026itkt,2790955,BTH_Rennes_2003_SetB2,BTH_Rennes_2003_SetB2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,140,,"86,3",,"84,1",,1,
