id,name,class,description,entity,attribute,xref
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000005,Aboveground biomass at maturity,AgronomicalTrait,All above-ground biomass at maturity.,Plant,Aboveground biomass at maturity,
0000078,Acid soil tolerance,AbioticStressTrait,Plant tolerance to acid soil.,Plant,Acid soil tolerance,
0000162,Agronomic score,AgronomicalTrait,Rating of overall agronomic attributes and health of plants.,Plant,Phenotypic acceptability,
0000162,Agronomic score,AgronomicalTrait,Rating of overall agronomic attributes and health of plants.,Plant,Phenotypic acceptability,
0000162,Agronomic score,AgronomicalTrait,Rating of overall agronomic attributes and health of plants.,Plant,Phenotypic acceptability,
0000082,Alternaria leaf blight plant response,BioticStressTrait,Alternaria leaf blight response in the plants caused by the agent Alternaria triticina.,Leaf,Alternaria leaf blight plant response,
0000079,Aluminum tolerance,AbioticStressTrait,Plant tolerance to aluminum.,Plant,Aluminum tolerance,
0000084,Ant damage,BioticStressTrait,The plant damage caused by ants.,Plant,Ant damage,
0000121,Anthesis time,PhenologicalTrait,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.,Plant,Anthesis time,
0000121,Anthesis time,PhenologicalTrait,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.,Plant,Anthesis time,
0000085,Aphid damage,BioticStressTrait,The plant damage caused by various species of aphids.,Plant,Aphid damage,
0000085,Aphid damage,BioticStressTrait,The plant damage caused by various species of aphids.,Plant,Aphid damage,
0000086,Armyworm damage,BioticStressTrait,The plant damage caused by armyworm.,Plant,Armyworm damage,
0000026,Awn length,MorphologicalTrait,Awn length.,Awn,Length,
0000931,Bacterial leaf blight incidence,BioticStressTrait,"Wheat bacterial leaf blight incidence in the plants caused by the agent pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. Initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless.",Leaf,Bacterial leaf blight incidence,
0000932,Bacterial leaf blight severity,BioticStressTrait,"Wheat bacterial leaf blight severity in the plants caused by the agent Pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless.",Leaf,Bacterial leaf blight severity,
0001019,Bacterial leaf streak severity,BioticStressTrait,"Bacterial leaf streak severity in the plants caused by the agent Xanthomonas translucens. The disease, called black chaff when on the glumes.",Leaf,Bacterial leaf streak severity,
0000933,Barley Helminthosporium leaf stripe incidence,BioticStressTrait,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).,Leaf,Barley Helminthosporium leaf stripe incidence,
0000933,Barley Helminthosporium leaf stripe incidence,BioticStressTrait,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).,Leaf,Barley Helminthosporium leaf stripe incidence,
0000933,Barley Helminthosporium leaf stripe incidence,BioticStressTrait,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).,Leaf,Barley Helminthosporium leaf stripe incidence,
0000692,Barley leaf rust coefficient of infection,BioticStressTrait,Barley leaf rust incidence/severity/response in the plants caused by the agent Puccinia hordei.,Leaf,Barley leaf rust coefficient of infection,
0000935,Barley leaf rust incidence,BioticStressTrait,Barley leaf rust incidence in the plants caused by the agent Puccinia hordei.,Leaf,Barley leaf rust incidence,
0000647,Barley leaf rust severity,BioticStressTrait,Barley leaf rust severity in the plants caused by the agent Puccinia hordei.,Leaf,Barley leaf rust severity,
0000647,Barley leaf rust severity,BioticStressTrait,Barley leaf rust severity in the plants caused by the agent Puccinia hordei.,Leaf,Barley leaf rust severity,
0000936,Barley scald incidence,BioticStressTrait,Barley scald incidence in the plants caused by the agent Rhynchosporium secalis.,Plant,Barley scald incidence,
0000710,Barley scald severity,BioticStressTrait,Barley scald severity in the plants caused by the agent Rhynchosporium secalis.,Plant,Barley scald severity,
0000710,Barley scald severity,BioticStressTrait,Barley scald severity in the plants caused by the agent Rhynchosporium secalis.,Plant,Barley scald severity,
0000095,Barley stripe mosaic incidence,BioticStressTrait,Barley stripe mosaic incidence in the plants caused by barley stripe mosaic virus.,Plant,Barley stripe mosaic incidence,
0000096,Barley yellow dwarf incidence,BioticStressTrait,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.,Plant,Barley yellow dwarf incidence,
0000096,Barley yellow dwarf incidence,BioticStressTrait,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.,Plant,Barley yellow dwarf incidence,
0000096,Barley yellow dwarf incidence,BioticStressTrait,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.,Plant,Barley yellow dwarf incidence,
0000087,Bird damage,BioticStressTrait,The plant damage caused by birds.,Plant,Bird damage,
0000087,Bird damage,BioticStressTrait,The plant damage caused by birds.,Plant,Bird damage,
0000097,Black point incidence,BioticStressTrait,"Black point incidence in the plants caused by the fungal species such as Helminthosporium sativum (Cochliobolus sativus), Alternaria alternata and fusarium spp. also black point symptoms are associated to physiological disorders.",Grain,Black point incidence,
0000097,Black point incidence,BioticStressTrait,"Black point incidence in the plants caused by the fungal species such as Helminthosporium sativum (Cochliobolus sativus), Alternaria alternata and fusarium spp. also black point symptoms are associated to physiological disorders.",Grain,Black point incidence,
0000191,Booting time,PhenologicalTrait,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike.",Plant,Booting time,
