id,name,context,stage,xref,date,trait,method,scale
0001034,BM_Calc_gm2,Trial evaluation,After physiological maturity (DS87),BMS_29020,25/10/2015,0000005,0001027,0000805
0001035,BM_Calc_kgha,Trial evaluation,After physiological maturity (DS87),BMS_29022,25/10/2015,0000005,0001027,0000804
0001036,BM_Calc_tha,Trial evaluation,After physiological maturity (DS87),BMS_18010,23/09/2014,0000005,0001027,0000432
0001037,BM_M_gPlnt,Trial evaluation,After physiological maturity (DS87),BMS_29903,25/10/2015,0000005,0000229,0001431
0001038,BM_M_gPlot,Trial evaluation,After physiological maturity (DS87),BMS_22668,25/10/2015,0000005,0000229,0000412
0001039,BM_M_kgPlot,Trial evaluation,After physiological maturity (DS87),BMS_22669,25/10/2015,0000005,0000229,0000806
0001040,AcdTol_E_1to5,Trial evaluation,DS15-DS65,BMS_29004,23/09/2014,0000078,0000299,0000464
0001041,AgrScr_E_0to9,Nursery/Trial evaluation,Generally DS69-DS81,BMS_23052,25/10/2015,0000162,0000351,0000885
0001042,AgrScr_E_1to9,Nursery/Trial evaluation,Generally DS69-DS81,BMS_23051,25/10/2015,0000162,0000351,0000884
0001043,AgrScr_E_1to5,Nursery/Trial evaluation,Generally DS69-DS81,BMS_23050,21/12/2018,0000162,0000351,0000462
0001044,AtritResp_E_1to8,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_29015,23/09/2014,0000082,0000304,0000471
0001045,AlTol_E_1to9,Nursery/Trial evaluation,DS15-DS65,BMS_29005,23/09/2014,0000079,0000300,0000468
0001046,AntDmg_E_pct,Trial evaluation,After the event,BMS_29013,23/09/2014,0000084,0000305,0000410
0001047,Ant_date_ymd,Trial evaluation,Flowering half complete (DS65),BMS_29012,25/10/2015,0000121,0000832,0000850
0001048,Ant_dto_day,Trial evaluation,Flowering half complete (DS65),BMS_22674,23/09/2014,0000121,0000336,0000434
0001049,AphDmg_E_pct,Trial evaluation,After the event,BMS_22924,25/10/2015,0000085,0000306,0000410
0001050,AphDmg_E_1to5,Trial evaluation,After the event,BMS_23208,23/09/2014,0000085,0000306,0000457
0001051,ArmyWDmg_E_pct,Trial evaluation,After the event,BMS_29014,23/09/2014,0000086,0000307,0000410
0001052,AwnLng_M_cm,Trial evaluation,DS75-DS89,BMS_29018,23/09/2014,0000026,0000247,0000411
0001053,BLBInc_E_0to9pcttext,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22827,25/10/2015,0000931,0000346,0000727
0001054,BLBSev_E_00to99,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22826,23/09/2014,0000932,0000690,0000470
0001055,BLSSev_E_00to99,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_29019,23/09/2014,0001019,0000690,0000470
0001056,HgramInc_E_0to9pcttext,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22835,25/10/2015,0000933,0000691,0000727
0001057,HgramInc_E_pct,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22836,25/10/2015,0000933,0000691,0000410
0001058,HgramInc_E_0to9pct,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22834,25/10/2015,0000933,0000691,0000446
0001059,PhordCI_Calc_pct,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_23042,25/10/2015,0000692,0001026,0000410
0001060,PhordInc_E_1to9,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_23044,25/10/2015,0000935,0000648,0000465
0001061,PhordSev_E_pct,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_29135,25/10/2015,0000647,0000693,0000410
0001062,PhordSev_E_0to12,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_23043,25/10/2015,0000647,0000324,0000753
0001063,RsecaInc_E_0to9pcttext,Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22812,25/10/2015,0000936,0000372,0000727
0001064,RSecaSev_E_00to99text,Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22813,25/10/2015,0000710,0000690,0000728
0001065,RsecaSev_E_00to99,Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,BMS_22811,23/09/2014,0000710,0000690,0000470
