id,value,description
0000464,1,highly susceptible
0000464,4,tolerant
0000464,5,highly tolerant
0000464,2,susceptible
0000464,3,intermediate
0000885,0,very poor (VP)
0000885,3,poor to fair (P-F)
0000885,4,fair (F)
0000885,1,very poor to poor (VP-P)
0000885,2,poor (P)
0000885,7,good to very good (G-VG)
0000885,8,very good (VG)
0000885,5,fair to good (F-G)
0000885,6,good (G)
0000885,9,excellent (E)
0000884,1,very poor (VP)
0000884,4,poor to fair (P-F)
0000884,5,fair (F)
0000884,2,very poor to poor (VP-P)
0000884,3,poor (P)
0000884,8,good to very good (G-VG)
0000884,9,very good (VG)
0000884,6,fair to good (F-G)
0000884,7,good (G)
0000462,1,very poor (VP)
0000462,4,good (G)
0000462,5,very good (VG)
0000462,2,poor (P)
0000462,3,fair (F)
0000471,0,no visible infection (0)
0000471,MR,"moderately resistant (MR), small lesions surrounded by necrotic areas"
0000471,I,"intermediate (M), lesions of variable size, some necrosis and/or chlorosis"
0000471,R,"resistant (R), necrotic areas with or without small lesions"
0000471,R-MR,resistant to moderately resistance (R-MR)
0000471,S,"susceptible (S), large lesions, no necrosis or chlorosis"
0000471,MS,"moderately Susceptible (MS), medium-sized lesions, no necrosis, but some chlorosis possible"
0000471,MS-S,moderately susceptible to susceptible (MS-S)
0000468,1,highly susceptible
0000468,4,susceptible to moderately susceptible
0000468,5,moderately susceptible
0000468,2,highly susceptible to susceptible
0000468,3,susceptible
0000468,8,tolerant
0000468,9,highly tolerant
0000468,6,moderately susceptible to moderately tolerant
0000468,7,moderately tolerant
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
