,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,1,2838591,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
1,DI08011itkfi,2838685,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,VIRTUAL_TRIAL,,,,,,,,low inputs
2,2,2838592,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
3,DI08011itkt,2838686,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,VIRTUAL_TRIAL,,,,,,,,treated
4,2,2838590,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
5,1,2838589,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,BTH_Dijon_2009_SetA2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
6,1,2838579,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,REPLICATION,1.0,,,,,,REPLICATION:1,treated
7,RE07004itkt,2838680,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,VIRTUAL_TRIAL,,,,,,,,treated
8,2,2838580,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
9,2,2838578,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,REPLICATION,2.0,,,,,,REPLICATION:2,low inputs
10,1,2838577,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,REPLICATION,1.0,,,,,,REPLICATION:1,low inputs
11,RE07004itkfi,2838679,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,BTH_Dijon_2009_SetA2,VIRTUAL_TRIAL,,,,,,,,low inputs
12,2,2838616,BTH_Dijon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,BTH_Dijon_2009_SetA2,REPLICATION,2.0,,,,,,REPLICATION:2,treated
