observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI03003itknt,2795992,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"106,3",,102,,,
Stru001588.1itkfi,2795973,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49585,gnpis_pui:holding-921_taxon-4898_accession-49585,Stru001588.1,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,52",,74,,"103,1",,"91,8",,,
Orvantisitkt,2796023,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,86",,"74,9",,"105,4",,"112,5",,1,
CF02266itknt,2795953,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"101,5",,"97,4",,,
CF02093itkt,2796008,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,96",,"77,2",,"95,3",,"101,8",,1,
CF02093itknt,2796007,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"103,7",,"99,5",,,
CF02283itkt,2796041,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,38",,"74,8",,"92,3",,"98,5",,1,
DI03003itkfi,2795991,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,02",,"73,8",,"99,9",,"88,9",,,
EM02224itkfi,2796033,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,48",,77,,"101,2",,"90,1",,,
Orvantisitknt,2796022,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,104,,"99,8",,,
EM02224itkt,2796035,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,78",,"79,2",,"100,2",,107,,1,
CF01014itkfi,2795955,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,05",,"77,8",,"92,4",,"82,3",,,
CF02283itkfi,2796039,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,32",,"71,6",,"94,5",,"84,1",,,
Orvantisitkfi,2796021,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,82",,"73,6",,"105,5",,"93,9",,,
DI03015itknt,2795950,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"106,2",,"101,9",,,
EM02224itknt,2796034,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"111,2",,"106,8",,,
CF02093itkfi,2796006,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,61",,"74,1",,"94,9",,"84,5",,,
EM02054itkfi,2795970,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,32",,"79,4",,"105,1",,"93,6",,,
CF02283itknt,2796040,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"97,8",,"93,9",,,
CF01014itkt,2795957,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,9",,"80,2",,"94,2",,"100,6",,1,
DI03011itkfi,2795946,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,32",,"78,5",,"95,7",,"85,2",,,
EM02054itkt,2795972,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,98",,"82,4",,"107,3",,"114,6",,1,
CF01014itknt,2795956,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"94,6",,"90,8",,,
EM02054itknt,2795971,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"107,7",,"103,4",,,
Stru001588.1itkt,2795975,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49585,gnpis_pui:holding-921_taxon-4898_accession-49585,Stru001588.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,24",,"77,9",,"101,6",,"108,5",,1,
Farandoleitkfi,2795985,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,46",,"74,6",,"105,8",,"94,2",,,
DI03011itknt,2795947,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"108,6",,"104,3",,,
Apacheitkt,2795981,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,96",,"79,9",,"102,4",,"109,3",,1,
Apacheitknt,2795980,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"96,3",,"92,4",,,
DI03011itkt,2795948,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,2",,"79,2",,95,,"101,4",,1,
CF02092itkt,2796011,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,02",,"77,2",,"100,4",,"107,2",,1,
EM02026itknt,2796037,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"101,8",,"97,7",,,
Apacheitkfi,2795979,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,49",,74,,"96,4",,"85,8",,,
EM02026itkfi,2796036,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,64",,"77,8",,"98,2",,"87,5",,,
DI03008itkfi,2795961,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,92",,"77,8",,"96,7",,"86,1",,,
CF01185itkt,2796020,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,29",,"77,8",,95,,"101,4",,1,
CF01185itkfi,2796018,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,27",,"74,4",,"100,8",,"89,7",,,
CF02092itknt,2796010,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"101,3",,"97,2",,,
DI03008itkt,2795963,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,76",,"78,4",,"93,8",,"100,2",,1,
DI03008itknt,2795962,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"99,2",,"95,2",,,
EM02026itkt,2796038,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,84",,"79,4",,"93,7",,"100,1",,1,
CF01185itknt,2796019,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"98,9",,"94,9",,,
Stru001590itkfi,2796003,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49361,gnpis_pui:holding-921_taxon-4898_accession-49361,Stru001590,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,98",,"76,5",,"102,1",,"90,9",,,
Stru001590itknt,2796004,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,49361,gnpis_pui:holding-921_taxon-4898_accession-49361,Stru001590,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"108,3",,"103,9",,,
EM02024itknt,2796025,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"108,4",,104,,,
CF02092itkfi,2796009,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,89",,"74,1",,99,,"88,1",,,
Oratorioitkfi,2796012,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,37",,"78,2",,"94,8",,"84,4",,,
DI03012itknt,2795944,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"91,2",,"87,5",,,
EM02024itkt,2796026,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,16",,"81,2",,"103,7",,"110,7",,1,
EM02207itkfi,2795997,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,49",,"77,2",,108,,"96,1",,,
EM02209itkt,2796017,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,88",,"79,9",,"102,9",,"109,8",,1,
EM02024itkfi,2796024,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,09",,"79,8",,"100,8",,"89,8",,,
EM02209itknt,2796016,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"104,4",,"100,2",,,
EM02096itkt,2795960,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,62",,"81,2",,"96,8",,"103,3",,1,
EM02209itkfi,2796015,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,07",,"75,2",,99,,"88,1",,,
Farandoleitknt,2795986,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"107,4",,"103,1",,,
EM02096itkfi,2795958,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,4",,"80,1",,101,,"89,9",,,
DI03012itkt,2795945,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,04",,"77,2",,"91,1",,"97,2",,1,
DI03012itkfi,2795943,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,74",,"75,1",,"86,9",,"77,4",,,
Farandoleitkt,2795987,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,48",,78,,"107,6",,"114,8",,1,
EM02096itknt,2795959,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,,,"98,6",,"94,6",,,
