observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM02026itkt,2789723,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"82,3",,"43,3",
EM02069itkt,2789698,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"92,1",,"48,4",
DI03018itkt,2789682,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"96,9",,"50,9",
CF02045itkt,2789685,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,105,,"55,2",
CF02097itkt,2789712,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,treated,2003,129,,"102,5",,"53,9",
DI03009itkt,2789705,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"94,4",,"49,6",
DI03017itkt,2789689,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,treated,2003,130,,"107,1",,"56,3",
DI03014itkt,2789690,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"104,2",,"54,7",
CF02139itkt,2789706,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"87,6",,46,
CF02096itkt,2789713,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"99,2",,"52,1",
DI03010itkt,2789686,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"97,4",,"51,2",
CF02098itkt,2789709,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"103,9",,"54,6",
CF02033itkt,2789702,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"90,2",,"47,4",
Apacheitkt,2789701,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,128,,"108,3",,"56,9",
EM02120itkt,2789703,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"101,1",,"53,1",
EM02018itkt,2789699,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"96,2",,"50,6",
EM02024itkt,2789714,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,82,,"43,1",
EM02096itkt,2789693,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"99,1",,"52,1",
Chargeritkt,2789707,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"93,7",,"49,2",
CF02326itkt,2789683,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"111,4",,"58,5",
DI03011itkt,2789687,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2003,129,,"104,7",,55,
EM02065itkt,2789708,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2003,138,,"88,9",,"46,7",
EM02054itkt,2789704,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"103,2",,"54,2",
DI03012itkt,2789684,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"111,2",,"58,4",
CF01046itkt,2789720,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"97,4",,"51,2",
CF01014itkt,2789692,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,100,,"52,6",
CF02092itkt,2789711,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,100,,"52,5",
RE02005itkt,2789696,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48411,gnpis_pui:holding-921_taxon-4898_accession-48411,RE02005,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"101,9",,"53,5",
EM02013itkt,2789697,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49283,gnpis_pui:holding-921_taxon-4898_accession-49283,EM02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,131,,"99,6",,"52,3",
EM02121itkt,2789695,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49449,gnpis_pui:holding-921_taxon-4898_accession-49449,EM02121,VIRTUAL_TRIAL,,,,,,,,treated,2003,136,,"87,7",,"46,1",
Soissonsitkt,2789722,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,130,,"89,6",,"47,1",
Isengrainitkt,2789718,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,128,,"108,5",,57,
EM02022itkt,2789724,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48400,gnpis_pui:holding-921_taxon-4898_accession-48400,EM02022,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"101,3",,"53,2",
RE02165itkt,2789719,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49008,gnpis_pui:holding-921_taxon-4898_accession-49008,RE02165,VIRTUAL_TRIAL,,,,,,,,treated,2003,137,,"92,4",,"48,6",
CF03427itkt,2789694,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49229,gnpis_pui:holding-921_taxon-4898_accession-49229,CF03427,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"105,2",,"55,3",
RE02180itkt,2789717,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48750,gnpis_pui:holding-921_taxon-4898_accession-48750,RE02180,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"88,4",,"46,4",
RE02073itkt,2789710,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48792,gnpis_pui:holding-921_taxon-4898_accession-48792,RE02073,VIRTUAL_TRIAL,,,,,,,,treated,2003,131,,"87,4",,"45,9",
RE02013itkt,2789716,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,48995,gnpis_pui:holding-921_taxon-4898_accession-48995,RE02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"100,2",,"52,6",
RE02186itkt,2789715,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49363,gnpis_pui:holding-921_taxon-4898_accession-49363,RE02186,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"102,3",,"53,7",
DI03015itkt,2789691,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"115,3",,"60,6",
DI03013itkt,2789700,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49692,gnpis_pui:holding-921_taxon-4898_accession-49692,DI03013,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"85,4",,"44,9",
DI03016itkt,2789688,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49668,gnpis_pui:holding-921_taxon-4898_accession-49668,DI03016,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,98,,"51,5",
RE02162itkt,2789721,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"100,7",,"52,9",
CF02202itkt,2789681,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,49710,gnpis_pui:holding-921_taxon-4898_accession-49710,CF02202,VIRTUAL_TRIAL,,,,,,,,treated,2003,129,,"90,8",,"47,7",
