observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08011itknt,2840278,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,82,,"38,4",,136,,,,76,,"130,6",,"90,2",,1,,"3,5",,1,
DI08011itkfi,2840277,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"38,2",,137,,"10,64",,"74,8",,"112,9",,"80,9",,1,,,,1,
Sankaraitknt,2840251,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,91,,"34,2",,141,,,,"74,1",,"106,1",,"73,3",,1,,"3,5",,1,
AO09003itknt,2840200,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,91,,34,,128,,,,"74,2",,"87,7",,"60,6",,8,,NA,,4,
RE07004itkt,2840270,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"47,8",,132,,"12,62",,"78,3",,"103,8",,"91,8",,,,,,"1,5",
RE07012itknt,2840197,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,92,,"42,5",,138,,,,"74,6",,112,,"77,3",,1,,"3,5",,"4,5",
RE07012itkfi,2840196,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"43,7",,140,,"11,28",,73,,"98,4",,"70,5",,1,,,,"1,5",
RE07040itkfi,2840280,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"36,3",,140,,"10,78",,"76,4",,"108,7",,"77,9",,"2,5",,,,"1,5",
RE07004itkfi,2840268,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,41,,132,,"12,41",,"74,4",,"107,1",,"76,7",,1,,,,1,
AO09003itkfi,2840199,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"34,7",,130,,"11,7",,"74,8",,"71,3",,51,,"7,5",,,,1,
