WTO_ID:class_ID;WTO class name(PrefLabel);WTO synonyms;Definitions WTO;Verification (Origin_ Way to find the possible alignement);Mappings;Sub mapping info;Information adout the mapping;CO_321_ID:trait_ID;CO_321 trait name;CO_321 (Variable ID);CO_321 (Variable Name);Definitions CO321;Synonyme;Reason for alignement;WTO -> CO_321;CO_321 -> WTO;Comments (Explanation of asymmetry);Suppl. info;Validation of the alignment;Comments from GitLab;Comments from Claire et Michael;Comments from Cyril / Maud;Question aux experts correspondante;
http://purl.obolibrary.org/obo/WTO_0000063;above-ground dry matter quantity;AGDM;Measured per unit area (ex. t/ha). Dependent of the developement stage: post-anthesis, ripening.;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;7;;;CO_321:0000006;Aboveground biomass;CO_321:1000018;AGDM.Z92_g/m_;All above-ground biomass.;Biological yield, All above-ground biomass at maturity, Above-ground dry matter;The traits are exact match concerning their synonyms;1;1;Concerning the synonyms they are symmetric;to be validated;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;7 ?;;;
http://purl.obolibrary.org/obo/WTO_0000121;admixture;;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;0;;;;;;;;;no appropriate mapping found;;;;;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;;;;
http://purl.obolibrary.org/obo/WTO_0000205;aluminium resistance;resistance to Al;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;1;1.4;;CO_321:0000079;Aluminum tolerance;CO_321:0000079;Aluminum tolerance;;;(1)Rule 4;;;;;;;Question expert: résistance-tolérance https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;14;
http://purl.obolibrary.org/obo/WTO_0000450;aluminium toxicity;Al toxicity;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;1;1.4;;CO_321:0000079;Aluminum tolerance;CO_321:0001045;AlTol_E_1to9;Plant tolerance to aluminum./ Method description-Observe the growth of plants per plot/entry in a soil presenting aluminum toxicity and rate the tolerance.;;(1)Rule 3 ;1;1;oui,  in British english CO321 name Aluminum=Aluminium;http://wheatdoctor.org/aluminum-toxicity;;validated;Question expert: résistance-tolérance https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;14, 16;
http://purl.obolibrary.org/obo/WTO_0000123;amount of damaged starch;;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;0;;;;;;;;;no appropriate mapping found;;;;;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;;;;
http://purl.obolibrary.org/obo/WTO_0000064;anther color;;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;0;;;;;;;;;no appropriate mapping was found;;;no appropriate matching found;;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;;;;
http://purl.obolibrary.org/obo/WTO_0000065;anther extrusion;;Related to FHB resistance.;found manually as exact match,coming from alignement WTO_WIPO;1;1.1;;CO_321:0000982;Anther extrusion;CO_321:0001482;AnthExt_E_pct;Extrusion of anthers.;;;1;1;;to be validated;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;ok;;;
http://purl.obolibrary.org/obo/WTO_0000296;aphid resistance;resistance to aphids;from VegA AO1H project;insect name;1;1.4;all info;CO_321:0000085;Aphid damage;CO_321:0001050;AphDmg_E_1to5;The plant damage caused by various species of aphids.;;(1) Rule 2;1;1;;;Validated;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;;;
http://purl.obolibrary.org/obo/WTO_0000281;Armyworm resistance;;;insect name;1;1.4;all info;CO_321:0000086;Armyworm damage;CO_321:0001051;ArmyWDmg_E_pct;The plant damage caused by armyworm.;;(1) Rule 2;1;1;;;Validated;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;;;
http://purl.obolibrary.org/obo/WTO_0000451;arsenic toxicity;As toxicity;;https://docs.google.com/document/d/15IU1eUyA_8ou01g-e3PWFqy5CL77SubVtV2VpMq6EUo/edit;0;;;CO_321:0500024;Grain Arsenic content;CO_321:0501063;GArse_M_ppm;Content of Arsenic in grain.;;(1)Need to present high level in the straw and in the grain (2)no appropriate mapping found;1;0;non, toxicité pour la plante (WTO)/ME:The mapping code is changed to 3+0;;Need to presence the micro element into another part of the plant;to be validated;https://docs.google.com/document/d/1q81zfG5MkAqHYieo_COuuS_pujl-x1JW01iD-K79yO0/edit#;;16;
